,time,user_id,creative_id,click_times,ad_id,product_id,product_category,advertiser_id,industry,age,gender
0,9,30920,567330,1,504423,30673,3,32638,319,2,1
1,65,30920,3072255,1,2642300,1261,2,6783,6,2,1
2,56,30920,2361327,1,2035918,1261,2,6783,6,2,1
3,52,30920,2361397,1,2035987,1261,2,6783,6,2,1
4,53,30920,2361397,1,2035987,1261,2,6783,6,2,1
5,72,30920,2361397,1,2035987,1261,2,6783,6,2,1
6,57,30920,2361397,1,2035987,1261,2,6783,6,2,1
7,59,30920,2577794,1,2219560,1261,2,6783,6,2,1
8,49,30920,2085566,1,1801889,129,2,42272,6,2,1
9,52,30920,2361439,1,2036024,1261,2,6783,6,2,1
10,6,30920,228129,1,204785,\N,18,14681,297,2,1
11,35,30920,1638771,1,1420737,26858,3,24917,60,2,1
12,71,30920,3135943,1,2698012,\N,8,631,292,2,1
13,26,30920,629802,1,559183,\N,18,14678,26,2,1
14,25,30920,629802,1,559183,\N,18,14678,26,2,1
15,52,30920,9148,1,10640,1370,2,1132,319,2,1
16,28,30920,1237871,1,1082900,26858,3,17926,60,2,1
17,63,30920,1711578,1,1482336,27031,3,32735,317,2,1
18,86,30920,2713031,1,2333817,\N,18,32019,25,2,1
19,17,30920,188898,1,169483,26858,3,24952,60,2,1
20,81,30920,3879497,1,3332935,27063,3,28091,319,2,1
21,77,30920,3735774,1,3213484,1231,2,28382,262,2,1
22,29,30920,475252,1,422727,29664,3,38426,238,2,1
23,77,30920,3260862,1,2805394,30673,3,13928,319,2,1
24,64,30920,2901618,1,2494166,1261,2,6783,6,2,1
25,60,30920,2901618,1,2494166,1261,2,6783,6,2,1
26,23,30920,1226743,1,1073411,\N,18,14681,6,2,1
27,54,30920,2233268,1,1927739,\N,18,14681,232,2,1
28,40,30920,22298,2,23128,5448,3,10821,248,2,1
29,18,30920,566646,1,503799,30673,3,38159,319,2,1
30,3,30920,91645,1,83767,\N,18,22615,40,2,1
31,11,30920,563952,1,501408,30673,3,32638,319,2,1
32,29,30920,15373,1,16761,26858,3,17926,60,2,1
33,80,30920,3751623,1,3226646,\N,18,46024,47,2,1
34,50,30920,2346223,1,2022884,\N,18,14681,292,2,1
35,91,30920,4351674,1,3731626,5614,3,27670,247,2,1
36,46,30920,2164075,1,1868382,\N,18,10955,247,2,1
37,26,30920,1390285,1,1213535,27081,3,18018,242,2,1
38,37,30920,851785,1,750683,12832,8,36585,84,2,1
39,52,30920,1875572,1,1623796,1370,2,36673,319,2,1
40,29,30920,1520949,1,1322343,8941,3,7141,247,2,1
41,12,30920,717026,1,634512,\N,18,26466,126,2,1
42,15,320815,567330,1,504423,30673,3,32638,319,3,1
43,9,320815,267775,1,240680,\N,18,31230,322,3,1
44,39,320815,1558973,1,1354076,\N,18,22918,319,3,1
45,15,320815,645546,1,573113,\N,18,31552,322,3,1
46,39,320815,1765696,2,1528920,\N,18,38764,322,3,1
47,4,320815,266295,1,239292,\N,18,38761,322,3,1
48,9,320815,584782,1,520056,\N,18,31552,322,3,1
49,64,320815,1836995,1,1590593,\N,12,10989,203,3,1
50,44,320815,1839517,1,1592757,\N,5,18924,289,3,1
51,43,320815,1839517,1,1592757,\N,5,18924,289,3,1
52,77,320815,3365298,1,2895715,\N,18,49635,322,3,1
53,45,320815,1214600,1,1062814,9265,3,41003,247,3,1
54,10,320815,509425,1,453201,8777,3,9075,247,3,1
55,13,320815,442522,2,393511,\N,18,15025,54,3,1
56,30,320815,83564,1,76578,\N,18,22918,319,3,1
57,21,320815,981827,1,863578,\N,5,1093,86,3,1
58,2,320815,119985,2,108234,27063,3,17243,319,3,1
59,35,320815,1730473,1,1498400,8703,3,34880,319,3,1
60,18,320815,921286,1,811572,8703,3,34880,319,3,1
61,26,320815,921286,2,811572,8703,3,34880,319,3,1
62,24,320815,921286,1,811572,8703,3,34880,319,3,1
63,86,320815,3577092,1,3079909,9429,3,22022,252,3,1
64,69,320815,2866874,1,2464771,4889,3,28897,247,3,1
65,39,320815,1742394,2,1508742,8800,3,38163,247,3,1
66,63,320815,45432,1,42594,\N,18,27144,54,3,1
67,35,320815,1715506,1,1485650,8518,3,35952,21,3,1
68,85,320815,4130137,1,3543631,8791,3,48723,319,3,1
69,90,320815,3979653,1,3417748,\N,18,61561,322,3,1
70,17,320815,952165,1,838564,27031,3,32735,318,3,1
71,10,320815,585834,1,520937,8703,3,34880,319,3,1
72,8,320815,543277,1,483272,\N,18,24678,73,3,1
73,18,320815,964481,1,848886,8949,3,7996,247,3,1
74,13,320815,788332,1,696101,30673,3,38159,319,3,1
75,21,320815,1047275,1,919670,27031,3,32735,317,3,1
76,25,320815,1274382,1,1114299,8703,3,34880,319,3,1
